interaction_id,customer_id,rm_id,type,timestamp,outcome,rm_notes,duration_minutes,products_discussed
INT_0001,KH_001,RM_001,call,2024-01-15 09:00:00,success,"Khách hàng quan tâm gói tiết kiệm 12 tháng, lãi suất 7.2%/năm. Hẹn gửi brochure qua email.",15,"tiet_kiem_12_thang"
INT_0002,KH_001,RM_001,email,2024-01-15 10:30:00,sent,"Đã gửi brochure gói tiết kiệm 12 tháng theo yêu cầu.",0,"tiet_kiem_12_thang"
INT_0003,KH_001,RM_001,call,2024-01-22 09:15:00,success,"KH đồng ý mở TK tiết kiệm 500tr, hẹn ra chi nhánh ký hồ sơ thứ 5 tuần sau.",20,"tiet_kiem_12_thang"
INT_0004,KH_002,RM_001,call,2024-01-15 10:00:00,no_answer,"Gọi không nghe. Nhắn tin hẹn gọi lại.",0,"vay_mua_nha"
INT_0005,KH_002,RM_001,call,2024-01-16 14:00:00,success,"KH quan tâm vay mua nhà 2 tỷ, lãi suất ưu đãi 8.5%. Hẹn gửi bảng tính trả góp.",25,"vay_mua_nha"
INT_0006,KH_002,RM_001,email,2024-01-16 15:00:00,sent,"Đã gửi bảng tính trả góp vay mua nhà 2 tỷ theo yêu cầu.",0,"vay_mua_nha"
INT_0007,KH_002,RM_001,call,2024-01-23 09:00:00,success,"KH xác nhận muốn vay, cần chuẩn bị hồ sơ. Hẹn tư vấn hồ sơ tuần sau.",30,"vay_mua_nha"
INT_0008,KH_003,RM_001,call,2024-01-10 11:00:00,rejected,"KH từ chối gói bảo hiểm nhân thọ, nói không có nhu cầu. Hỏi về thẻ tín dụng.",15,"bao_hiem_nhan_tho"
INT_0009,KH_003,RM_001,call,2024-01-12 14:00:00,success,"KH quan tâm thẻ Visa Platinum, hỏi về phí thường niên và ưu đãi hoàn tiền.",20,"the_visa_platinum"
INT_0010,KH_003,RM_001,email,2024-01-12 15:30:00,sent,"Gửi thông tin thẻ Visa Platinum và biểu phí.",0,"the_visa_platinum"
INT_0011,KH_003,RM_001,call,2024-01-19 10:00:00,success,"KH đồng ý mở thẻ Visa Platinum. Hẹn ra chi nhánh làm thủ tục.",15,"the_visa_platinum"
INT_0012,KH_004,RM_001,meeting,2024-01-08 14:00:00,success,"Gặp trực tiếp tại chi nhánh. KH muốn đầu tư quỹ mở, tìm hiểu về TCBF.",45,"quy_mo_tcbf"
INT_0013,KH_004,RM_001,email,2024-01-08 16:00:00,sent,"Gửi prospectus quỹ TCBF và lịch sử tăng trưởng.",0,"quy_mo_tcbf"
INT_0014,KH_004,RM_001,call,2024-01-15 09:30:00,success,"KH quyết định đầu tư 200tr vào TCBF. Hướng dẫn thủ tục online.",20,"quy_mo_tcbf"
INT_0015,KH_005,RM_002,call,2024-01-10 09:00:00,no_answer,"Gọi không nghe máy lần 1.",0,"tiet_kiem_6_thang"
INT_0016,KH_005,RM_002,call,2024-01-10 14:00:00,no_answer,"Gọi không nghe máy lần 2.",0,"tiet_kiem_6_thang"
INT_0017,KH_005,RM_002,call,2024-01-11 09:00:00,success,"KH nghe máy. Quan tâm tiết kiệm 6 tháng lãi suất online. Hẹn gửi thông tin.",10,"tiet_kiem_6_thang"
INT_0018,KH_005,RM_002,email,2024-01-11 10:00:00,sent,"Gửi thông tin gói tiết kiệm 6 tháng online lãi suất 6.8%.",0,"tiet_kiem_6_thang"
INT_0019,KH_005,RM_002,call,2024-01-18 10:00:00,success,"KH mở TK tiết kiệm 6 tháng 300tr online.",15,"tiet_kiem_6_thang"
INT_0020,KH_006,RM_002,call,2024-01-12 09:00:00,success,"KH hỏi về vay tín chấp cá nhân, mức lương 25tr/tháng. Tư vấn vay tối đa 150tr.",20,"vay_tin_chap"
INT_0021,KH_006,RM_002,email,2024-01-12 11:00:00,sent,"Gửi điều kiện và hồ sơ vay tín chấp cá nhân.",0,"vay_tin_chap"
INT_0022,KH_006,RM_002,call,2024-01-17 14:00:00,success,"KH đồng ý vay 100tr, lãi suất 12%/năm. Hẹn nộp hồ sơ tuần sau.",25,"vay_tin_chap"
INT_0023,KH_007,RM_002,call,2024-01-08 10:00:00,success,"KH muốn mở tài khoản thanh toán và thẻ ATM nội địa.",10,"tai_khoan_thanh_toan"
INT_0024,KH_007,RM_002,meeting,2024-01-09 09:00:00,success,"KH ra chi nhánh mở TK thanh toán, đăng ký Internet Banking.",30,"tai_khoan_thanh_toan"
INT_0025,KH_007,RM_002,call,2024-01-16 10:00:00,success,"Follow up sau mở TK. KH hài lòng. Giới thiệu thêm về tiết kiệm.",15,"tiet_kiem_12_thang"
INT_0026,KH_008,RM_002,call,2024-01-09 14:00:00,success,"KH doanh nghiệp hỏi về gói tài khoản SME và hạn mức overdraft.",30,"tai_khoan_sme"
